Mc,eta,DL,z,m1,m2,M_tot,q,full_faith,snr,inspiral_t,Mc_full_bias,Mc_stat_err,Mc_max_lam,Mc_min_faith,Mc_max_lam_index_first,full_inner_prod,Mc_min_inner_prod
4.474579635765014,0.19376169635742552,1000.0,0.19781979248496245,8.829682665640464,3.148515259209158,11.978197924849622,2.804395703598495,0.9984509266890301,154.99632143273894,740.2121516957588,0.00013422630724233117,1.6073925193096875e-05,0.3490304709141274,0.9997322540832214,8,0.9695793003183748,0.9941117059569212
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.213734479797151,0.24999368702810534,1000.0,0.19781979248496245,6.019194937110381,5.959002987739243,11.978197924849624,1.010101010101016,0.9987178939478909,177.34998713958865,574.8831174943525,0.00023222163192432505,2.2044537183903453e-05,0.29916897506925205,0.9989322863203667,8,0.9675857905872495,0.9949157582428877
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
3.7634061391824463,0.14520536853791083,1000.0,0.19781979248496245,9.866681066299801,2.111516858549823,11.978197924849624,4.672792938568427,0.998144739606509,133.36715551679484,986.0025077733773,7.990542986899187e-05,1.1310662621411498e-05,0.3988919667590028,0.9999463427252981,8,0.9680161525428225,0.992982991855999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
4.474579635765014,0.19376169635742552,1000.0,0.19781979248496245,8.829682665640464,3.148515259209158,11.978197924849622,2.804395703598495,0.9984509266890301,154.99632143273894,740.2121516957588,0.00013422630724233117,1.6073925193096875e-05,0.3490304709141274,0.9997322540832214,8,0.9695793003183748,0.9941117059569212
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
3.7634061391824463,0.14520536853791083,1000.0,0.19781979248496245,9.866681066299801,2.111516858549823,11.978197924849624,4.672792938568427,0.998144739606509,133.36715551679484,986.0025077733773,7.990542986899187e-05,1.1310662621411498e-05,0.3988919667590028,0.9999463427252981,8,0.9680161525428225,0.992982991855999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.213734479797151,0.24999368702810534,1000.0,0.19781979248496245,6.019194937110381,5.959002987739243,11.978197924849624,1.010101010101016,0.9987178939478909,177.34998713958865,574.8831174943525,0.00023222163192432505,2.2044537183903453e-05,0.29916897506925205,0.9989322863203667,8,0.9675857905872495,0.9949157582428877
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
3.7634061391824463,0.14520536853791083,1000.0,0.19781979248496245,9.866681066299801,2.111516858549823,11.978197924849624,4.672792938568427,0.998144739606509,133.36715551679484,986.0025077733773,7.990542986899187e-05,1.1310662621411498e-05,0.3988919667590028,0.9999463427252981,8,0.9680161525428225,0.992982991855999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
3.7634061391824463,0.14520536853791083,1000.0,0.19781979248496245,9.866681066299801,2.111516858549823,11.978197924849624,4.672792938568427,0.998144739606509,133.36715551679484,986.0025077733773,7.990542986899187e-05,1.1310662621411498e-05,0.3988919667590028,0.9999463427252981,8,0.9680161525428225,0.992982991855999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
3.7634061391824463,0.14520536853791083,1000.0,0.19781979248496245,9.866681066299801,2.111516858549823,11.978197924849624,4.672792938568427,0.998144739606509,133.36715551679484,986.0025077733773,7.990542986899187e-05,1.1310662621411498e-05,0.3988919667590028,0.9999463427252981,8,0.9680161525428225,0.992982991855999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
4.474579635765014,0.19376169635742552,1000.0,0.19781979248496245,8.829682665640464,3.148515259209158,11.978197924849622,2.804395703598495,0.9984509266890301,154.99632143273894,740.2121516957588,0.00013422630724233117,1.6073925193096875e-05,0.3490304709141274,0.9997322540832214,8,0.9695793003183748,0.9941117059569212
4.474579635765014,0.19376169635742552,1000.0,0.19781979248496245,8.829682665640464,3.148515259209158,11.978197924849622,2.804395703598495,0.9984509266890301,154.99632143273894,740.2121516957588,0.00013422630724233117,1.6073925193096875e-05,0.3490304709141274,0.9997322540832214,8,0.9695793003183748,0.9941117059569212
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
3.7634061391824463,0.14520536853791083,1000.0,0.19781979248496245,9.866681066299801,2.111516858549823,11.978197924849624,4.672792938568427,0.998144739606509,133.36715551679484,986.0025077733773,7.990542986899187e-05,1.1310662621411498e-05,0.3988919667590028,0.9999463427252981,8,0.9680161525428225,0.992982991855999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.213734479797151,0.24999368702810534,1000.0,0.19781979248496245,6.019194937110381,5.959002987739243,11.978197924849624,1.010101010101016,0.9987178939478909,177.34998713958865,574.8831174943525,0.00023222163192432505,2.2044537183903453e-05,0.29916897506925205,0.9989322863203667,8,0.9675857905872495,0.9949157582428877
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.213734479797151,0.24999368702810534,1000.0,0.19781979248496245,6.019194937110381,5.959002987739243,11.978197924849624,1.010101010101016,0.9987178939478909,177.34998713958865,574.8831174943525,0.00023222163192432505,2.2044537183903453e-05,0.29916897506925205,0.9989322863203667,8,0.9675857905872495,0.9949157582428877
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
5.213734479797151,0.24999368702810534,1000.0,0.19781979248496245,6.019194937110381,5.959002987739243,11.978197924849624,1.010101010101016,0.9987178939478909,177.34998713958865,574.8831174943525,0.00023222163192432505,2.2044537183903453e-05,0.29916897506925205,0.9989322863203667,8,0.9675857905872495,0.9949157582428877
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.213734479797151,0.24999368702810534,1000.0,0.19781979248496245,6.019194937110381,5.959002987739243,11.978197924849624,1.010101010101016,0.9987178939478909,177.34998713958865,574.8831174943525,0.00023222163192432505,2.2044537183903453e-05,0.29916897506925205,0.9989322863203667,8,0.9675857905872495,0.9949157582428877
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.213734479797151,0.24999368702810534,1000.0,0.19781979248496245,6.019194937110381,5.959002987739243,11.978197924849624,1.010101010101016,0.9987178939478909,177.34998713958865,574.8831174943525,0.00023222163192432505,2.2044537183903453e-05,0.29916897506925205,0.9989322863203667,8,0.9675857905872495,0.9949157582428877
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.213734479797151,0.24999368702810534,1000.0,0.19781979248496245,6.019194937110381,5.959002987739243,11.978197924849624,1.010101010101016,0.9987178939478909,177.34998713958865,574.8831174943525,0.00023222163192432505,2.2044537183903453e-05,0.29916897506925205,0.9989322863203667,8,0.9675857905872495,0.9949157582428877
5.213734479797151,0.24999368702810534,1000.0,0.19781979248496245,6.019194937110381,5.959002987739243,11.978197924849624,1.010101010101016,0.9987178939478909,177.34998713958865,574.8831174943525,0.00023222163192432505,2.2044537183903453e-05,0.29916897506925205,0.9989322863203667,8,0.9675857905872495,0.9949157582428877
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
4.474579635765014,0.19376169635742552,1000.0,0.19781979248496245,8.829682665640464,3.148515259209158,11.978197924849622,2.804395703598495,0.9984509266890301,154.99632143273894,740.2121516957588,0.00013422630724233117,1.6073925193096875e-05,0.3490304709141274,0.9997322540832214,8,0.9695793003183748,0.9941117059569212
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
3.7634061391824463,0.14520536853791083,1000.0,0.19781979248496245,9.866681066299801,2.111516858549823,11.978197924849624,4.672792938568427,0.998144739606509,133.36715551679484,986.0025077733773,7.990542986899187e-05,1.1310662621411498e-05,0.3988919667590028,0.9999463427252981,8,0.9680161525428225,0.992982991855999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
5.008346966460923,0.23379660761286927,1000.0,0.19781979248496245,7.513834278415345,4.464363646434277,11.978197924849622,1.6830694973552847,0.9989474046656895,171.14099079784782,614.3496215721781,0.0001946050364450122,2.0275624361990757e-05,0.3157894736842105,0.9991884196175203,8,0.9689890156456248,0.9947523334891442
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
4.474579635765014,0.19376169635742552,1000.0,0.19781979248496245,8.829682665640464,3.148515259209158,11.978197924849622,2.804395703598495,0.9984509266890301,154.99632143273894,740.2121516957588,0.00013422630724233117,1.6073925193096875e-05,0.3490304709141274,0.9997322540832214,8,0.9695793003183748,0.9941117059569212
5.213734479797151,0.24999368702810534,1000.0,0.19781979248496245,6.019194937110381,5.959002987739243,11.978197924849624,1.010101010101016,0.9987178939478909,177.34998713958865,574.8831174943525,0.00023222163192432505,2.2044537183903453e-05,0.29916897506925205,0.9989322863203667,8,0.9675857905872495,0.9949157582428877
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
3.7634061391824463,0.14520536853791083,1000.0,0.19781979248496245,9.866681066299801,2.111516858549823,11.978197924849624,4.672792938568427,0.998144739606509,133.36715551679484,986.0025077733773,7.990542986899187e-05,1.1310662621411498e-05,0.3988919667590028,0.9999463427252981,8,0.9680161525428225,0.992982991855999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0
